"b'May, Lagarde, Mnuchin: World Leaders Are Talking Crypto at Davos  '",
"b""RT @ErikVoorhees: Back in 2011, we joked that some day we'd see headlines like this """,
"b""RT @CremeDeLaCrypto: Really excited to have @jimmysong joining our team! Looking forward to sharing more about the new initiative he'll b""",
b'RT @SpirosMargaris: Why a $39 Million #ICO Chose #Stellar Over #Ethereum  #fintech #blockchain @BradyDale #VC @co',
b'RT @crudereporter: Comforting. ',
b'RT @DelRayMan: Watch out Coinbase. After raising $176 million in venture capital US-based Robinhood could eat your lunch. This report answe',
"b'RT @NoelleInMadrid: This is  an old-school bank heist in a new-school  are the theives the ones not evolving, or are cry'",
"b""Bitcoin Won't Cause Lehman-Style Meltdown, Says MAS Fintech Chief  """,
b'Wyoming Lawmakers Want Exemptions for ICO Utility Tokens  ',
"b""BREAKING: 'Micro' Finance Giant Robinhood Makes Big Bet on Bitcoin Trading  """,
b'Security Firm Guardtime Unveils Crypto Asset Storage Product  ',
b'Why a $39 Million ICO Chose Stellar Over Ethereum  ',
b'Bitcoin Dev Jimmy Song Is Now a Blockchain Capital Partner  ',
"b'Bitcoin Bull Reversal Sighted, But Momentum Proves Weak  '",
b'BREAKING: Former Ripple Exec Invests $ Million in Digital Money Platform Uphold  ',
"b'SEC, CFTC Chiefs Eye Closer Scrutiny of US Cryptocurrency Industry  '",
b'Arsenal Football Club to Promote iGaming Firm ICO  ',
b'Investors File Class Action Against BitConnect Following Abrupt Closure  ',
b'Ex-CFTC Commissioner Joins Crypto Exchange as Regulatory Adviser  ',
b'Audit Giant DNV GL Partners With Blockchain Startup to Track Assets  ',
b'RT @naval: First round of coin airdrops went to devs and miners. Second round to investors and BTC / ETH holders. Third round will try to r',
b'RT @SimonDingle: I can t wait for Fiddy to weigh in on the scaling debate. ',
b'RT @taoeffect: Thanks @AlyssaHertig for covering our work on the #DCSTriangle! I can only imagine how much work it must be to keep up with',
b'Bitcoin Exchange Hit By Armed Robbers in Thwarted Theft  ',
b'Digital Marketplace Startup Completes $15 Million Token Sale  ',
b'Bermuda Could Launch a Blockchain Land Registry  ',
"b'If you are thinking about joining us, tickets increase in price at 12:00AM EST on January 30th, so be sure to regis '",
b'We have a draft of our agenda and will be announcing hundreds of speakers joining us to fill the agenda out over th ',
"b""We're bringing together 4,000+ attendees across all industries looking to learn about and engage with the latest de """,
"b""We're thrilled to have 84 companies (and counting) sponsoring Consensus from all areas of the blockchain space. In """,
"b""We've just relaunched the Consensus 2018 website: """,
b'Rapper 50 Cent Is Now a Bitcoin Millionaire  ',
"b""Canada's VersaBank Unveils 'Digital Vault' Blockchain Service  """,
"b""Two More Companies Sign On to Test Ripple's XRP in xRapid Pilots  """,
"b""'Not True': Goldman's Blankfein Denies Bitcoin Trading Desk Rumor  """,
b'Virginia Lawmakers Seek Study on Government Blockchain Use  ',
"b""CFTC Sues Obscure Crypto Scheme 'My Big Coin' for Fraud  """,
"b'Skuchain, NTT Data Partner on Blockchain Supply Chain Venture  '",
b'Stellar Run Ahead? XLM Flirts With Price Breakout  ',
b'CoinDesk has not and will not ever accept payment for editorial coverage. All correspondence from CoinDesk will alw ',
b'Warning: CoinDesk has received reports of individuals pretending to be from CoinDesk and are promising coverage of ',
"b""Decentralization vs Scale: Studies Explore Crypto's Growing Struggle  """,
b'Building a Base? Bitcoin Demand at $10K Hints at Move Higher  ',
"b""@SidiWyst Thanks for the heads up, wyst. You're quite correct. The image is from Shutterstock. We will change it in the article""",
"b'US Government Lab, BlockCypher Tap Blockchain for P2P Energy Transactions  '",
b'South Korean Regulator Fines Crypto Exchanges over Privacy Failures  ',
"b""Would Israel's ICO Tax Plan Retain Startups or Scare Them Off?  """,
b'UK Government Lures Distributed Ledger Projects With $26 Million Fund  ',
b'MakerDAO and More: The Quest for a Stable Stablecoin Continues  ',
"b""Amazon User Orders Bitcoin Miner, Gets 'Boss Baby' DVD Instead  """,
"b'RT @CashflowHawaii: Stripe remains ""very optimistic about cryptocurrencies  '",
b'Payment Processor Stripe to End Support for Bitcoin Transactions  ',
"b""EU Commissioner to Host 'High Level Roundtable' on Cryptocurrencies  """,
b'Virginia Lawmaker Calls for New Cryptocurrency Impact Study  ',
b'Malta Finance Watchdog Pushes Ahead With Crypto Investment Fund Rules  ',
"b""Bitcoin's price is back above $11,000 after dropping below $10,000 earlier today  """,
"b'USMS spokesperson: ""The  Marshals bitcoin auction on Monday resulted in 62 registered bidders and 111 bids rece '",
b'TD Ameritrade Cites Blockchain Stock Interest in Q1 Results  ',
"b""Goldman Sachs Warns Investors of Bitcoin 'Bubble' in New Report  """,
b'Ether Price Outlook Gloomy After Again Falling Below $1K  ',
b'@IlianaOV We might have something in the works.',
b'UN Forms Blockchain Coalition to Help Tackle Climate Change  ',
"b""Just Because It's Bad News for Your Crypto Coin Doesn't Mean It's FUD  """,
b'Bear Grip Strengthens as Bitcoin Price Nears $10K  ',
"b'Microsoft, Hyperledger, UN Join Blockchain Identity Initiative  '",
"b""China's Banking Regulator Pushes Blockchain Adoption for Credit Market  """,
b'Cryptocurrency Exchange BitFlyer Launches New EU Branch  ',
"b""What's a Former CIA Lawyer Doing in Crypto? Structuring Compliant ICOs  """,
b'South Korea Announces Date for Ban on Anonymous Crypto Trading  ',
b'Vermont City Pilots Land Registry Record With Blockchain Startup  ',
"b""How To Save on Bitcoin's Soaring Fees  """,
"b'RT @nTrust: If Zuckerberg really wants to experiment with decentralized systems, a publicly issued crypto-token would be hell of a way to'",
"b'RT @rumimorales: Fantastic article on the inevitable. Important points addressed including user value, skin-in-the game solutions, decentr'",
b'RT @WarcMeinstein: Like to see more speculation into a Facebook Token. Believe existing centralized platforms like Facebook will use Blockc',
b'RT @Mike__Key: Merging #cryptocurrency with modern financial instruments could make national currencies appreciate in value. @SAPforBanking',
"b'RT @tcarb1: What a Facebook Blockchain Token Might Look Like  via @CoinDesk ""Social media badly needs a model that'",
"b""US Senators Blast Venezuela's Oil-Backed Cryptocurrency Plan  """,
"b'Bitcoin Slides More Than 10 Percent to Near $10,000 Level  '",
"b""SEC 'Looking Closely' at Public Company Blockchain Pivots, Says Chairman  """,
b'Coinbase Taps Twitter Vet to Bolster Customer Support Team  ',
b'Commodity Merchant Louis Dreyfus Trials Blockchain for Soybean Trade  ',
b'China Moves to Crack Down on Digital Currency Pyramid Schemes  ',
"b""RT @ErikVoorhees: Contortions for Compliance: Life Under New York's BitLicense  via @CoinDesk""",
"b'RT @madeinbuddha: ""Don\'t make the mistake of thinking you\'re Facebook\'s customer, you\'re not you\'re the product."" '",
"b'RT @bloomenio: @coindesk article about potential #FacebookToken  Key quote: "" most powerful gift he can make'",
b'Canadian Research Body Pilots Ethereum in Transparency Push  ',
"b""Huobi Is Launching a Token, But It's 'Not an ICO'  """,
b'What a Facebook Blockchain Token Might Look Like  ',
"b'Bitcoin Defends $11,000 Mark and Eyes Move Higher  '",
b'Korean Cryptocurrency Exchange Korbit Halting Deposits from Foreigners  ',
b'IMF Calls for International Cooperation on Cryptocurrencies  ',
b'Opera Browser Adds Cryptocurrency Miner Protection for Smartphones  ',
"b""Don't HODL, BUIDL: How Blockchain Tech Will Add Value in 2018  """,
b'Indian State Partners With Fund To Launch Blockchain Ecosystem  ',
b'Opening Hyperledger: Consortium to Create Experimental Labs for Startups  ',
"b'RT @wbullockiii: A recent article on @coindesk titled ""Contortions for Compliance: Life Under New York\'s #BitLicense"" reminds me of how con'",
b'RT @walshsuzy: Why States should adopt the URCBA! @uniformlaws ',
b'RT @evdillon: Excellent article on the needs to block chain from @coindesk @EYnews ',
"b""Contortions for Compliance: Life Under New York's BitLicense  """,
"b""Public Blockchain's Lure Will Become Irresistible for Enterprises in 2018  """,
"b'Phishing alert: There is a fake version of our website floating around, that links to a phishing site. We did not s '",
"b""RT @etherealcapital: Bull Run or Just Bull? Take CoinDesk's State of Blockchain Sentiment Survey  via @CoinDesk""",
"b""Lightning Network May Not Solve Bitcoin's Scaling 'Trilemma'  """,
b'Battle-Testing Lightning: 26 Schools Start Contest to Secure Bitcoin s Layer 2  ',
"b""Venezuela Blasts 'False' White Paper for Oil-Backed Cryptocurrency  """,
"b""Report: India's Government Sends Tax Notices to Cryptocurrency Traders  """,
"b""Bulgaria Joins 'International Operation' Against OneCoin  """,
"b""RT @BradyDale: The sheriff's shown up  via @CoinDesk""",
b'OKCoin Eyes Cryptocurrency Exchange Launch in South Korea  ',
b'TEPCO Invests in Blockchain Startup in Bid to Decentralize Systems  ',
"b""RT @SpirosMargaris: Where'd You Get That #Token? 7 Platforms Managing #ICOs  #fintech #blockchain #DigitalCurrenc""",
b'PBoC Reportedly Orders Payment Services to Stop Serving Crypto Traders  ',
b'CFTC Files Suits Against Crypto Investment Schemes for Alleged Fraud  ',
b'Massachusetts Sues ICO Organizer for Alleged Securities Violations  ',
"b""2018's Challenge: Promote Responsible Blockchain Innovation  """,
b'Stuck at $12K: Bitcoin Price Needs Quick Progress to Avert Further Losses  ',
b'Global Securities Watchdog Warns Investors on ICO Risks  ',
b'SEC Outlines Reasons for Reluctance to List Cryptocurrency ETFs  ',
b'Why S o Paulo Wants to Pay for Infrastructure with Cryptocurrency  ',
b'The ECB Wants to Hear Your Cryptocurrency Questions  ',
"b""Where'd You Get That Token? 7 Platforms Managing ICOs  """,
b'Bitcoin Devs Release Long-Awaited Schnorr Paper for Scalability Gains  ',
b'Virginia Beach Government Backs Bitcoin Mine With $500K Grant  ',
b'NYSE Parent Company Launches Cryptocurrency Data Feed  ',
"b'RT @Hyperledger: ""Enterprise Blockchain Is Ready to Go Live in 2018"" - guest post by Hyperledger member @Oracle in @coindesk. Read it here:'",
b'RT @Oracle: Enterprise #blockchain is ready to go in 2018:  via @coindesk ',
b'ESMA Seeks Public Input on Cryptocurrency Derivatives Policy  ',
"b""@CoinMoonSoon @clever_buffalo Peer-to-Peer Ledger [wallet]-to-Ledger [wallet] It'""",
b'RT @cryptohereicome: Great news for the future of privacy. ',
b'@CoinMoonSoon Ledger with a capital L. :)',
b'Ledger-to-Ledger? Hardware Wallet Integrates with Decentralized Exchange  ',
"b""TSMC Expects 'Strong' Crypto Mining Demand to Continue  """,
b'Ripple and Stellar Lead the Way as Crypto Market Shakes Off Rout  ',
"b""RT @Ebden: Our global #blockchain innovation lead @IlianaOV sits right here in Canada, here's her latest interview on how business is evalu""",
b'Antpool Adds Support for Siacoin Mining Amid Bitmain Miner Launch  ',
"b""Bull Run or Just Bull? Take CoinDesk's State of Blockchain Sentiment Survey  """,
"b'@antebartulovic The source library just says ""rain forest"" but similar images say Chiang Mai Province, Thailand'",
"b'Bitcoin Is Back Above $11,500, But Bulls Not Out of the Woods Yet  '",
b'Korean Regulator Investigating Staff Insider Trading of Cryptocurrencies  ',
b'Hardware Wallet Maker Ledger Nets $75 Million in Series B Funding  ',
b'Dept of Veterans Affairs Wants Industry to Propose Use Cases for Blockchain  ',
b'Enterprise Blockchain Is Ready to Go Live in 2018  ',
b'Colorado New Bill Encourages State to Adopt Blockchain for Data Security  ',
b'Blockchain Bloat: How Ethereum Clients are Tackling Storage Issues  ',
b'IMPOSTOR ALERT: the account using the handle @coindesk__ is NOT us. We are reporting them to @TwitterSupport.',
b'3 (Possible) Reasons the Crypto Markets Tanked This Week  ',
"b""Cboe's First Bitcoin Futures Contract Expired Today  """,
"b'The price of bitcoin is back above $11,000  '",
b'Treasury Official: Department Working With IRS to Police Crypto Exchanges  ',
b'RT @SpirosMargaris: The Sidechains Breakthrough Almost Everyone in #Bitcoin Missed  #fintech #DigitalCurrency #b',
b'RT @AndrewCouts: Workers of the world unite; you have nothing to lose but your blockchains. ',
b'RT @BradyDale: A sovereign revenue authority is kicking around models for taxing ICOs  via @CoinDesk',
"b""Goldman's Jafari: Watch For Signs of Price Base Just Below $10K  """,
b'RT @koutlaw: What the Data Tells Us About Bitcoin in 2017  via @CoinDesk',
b'Israel Releases Draft Plan for Taxing ICOs  ',
"b""BitConnect Investors Left in the Lurch as Token's Price Drops 90%  """,
"b""After sliding to $9,199 on the BPI, bitcoin's price is back above $9,500  """,
"b""Bitcoin's price continues to slide, trading at roughly $9,200 per the BPI  """,
b'RT @stoneythebarber: Things should really get interesting now. #nasdaq #blockchain The First Blockchain ETFs Have Launched on the Nasdaq Ex',
b'The First Blockchain ETFs Have Launched on the Nasdaq Exchange  ',
"b""Bitcoin's Price Drops Below $10,000 for First Time Since Early December  """,
b'Enterprise Ethereum Alliance Appoints First Executive Director  ',
"b""As Bitcoin's Slide Continues, Prices Look Towards $8K  """,
"b'To Understand Bitcoin, I Studied Karl Marx  '",
b'Blockstream Launches Micropayments Processing System for Bitcoin Apps  ',
b'Proposed US Task Force Would Tackle Crypto Use in Terrorism Financing  ',
b'Tokens Will Bring Conflicts of Interest to Healthcare  ',
b'The Sidechains Breakthrough Almost Everyone in Bitcoin Missed  ',
b'RT @Visible_Banking: #bitcoin #fintech via @coindesk: BitConnect Shutters Crypto Exchange Site After Regulator Warnings ',
b'RT @PennyCryptoClub: Why This Startup Took Part of Its Venture Funding in XRP  via @CoinDesk',
"b""@joonian Yes the site works fine for end users but we've been unable to publish new content. (Hi Joon!)""",
b'Why This Startup Took Part of Its Venture Funding in XRP  ',
"b""Our engineers are working to resolve some persistent technical issues. In the meantime we're posting new stories he """,
b'RT @BLR13: Why This Startup Took Part of Its Venture Funding in #XRP  Sharing-economy startup Omni expects the pric',
"b""Bitcoin's price is back above $10,500 after CoinDesk's BPI hit $10,  """,
